id	title	description	link	image_link	availability	price	brand	condition	identifier_exists	google_product_category	product_type	shipping_label	shipping(country:price)	return_policy_label
9ft-mini-new	9ft Mini Shipping Container - New	Compact 9ft shipping container, perfect for tight spaces and small storage needs. Wind and watertight construction with secure lockbox. Ideal for backyard storage, small workshops, tools & garden equipment. Free delivery within 50km of Saskatoon.	https://ccansam.com/containers/9ft-mini/	https://ccansam.com/images/containers/9-standard.png	in_stock	4000.00 CAD	C-Can Sam	new	no	Hardware > Storage & Organization	Shipping Containers > 9ft Mini	free_local	CA::0 CAD	inspect_before_delivery
20ft-standard-new	20ft Standard Shipping Container - New (One-Trip)	20ft standard shipping container for sale. Versatile storage solution for residential, commercial, and construction needs. Dimensions: 20ft L x 8ft W x 8ft 6in H. 1,172 cubic feet capacity. Wind and watertight with marine-grade plywood flooring. Free delivery within 50km of Saskatoon.	https://ccansam.com/containers/20ft-standard/	https://ccansam.com/images/containers/20ft-standard.jpg	in_stock	4450.00 CAD	C-Can Sam	new	no	Hardware > Storage & Organization	Shipping Containers > 20ft Standard	free_local	CA::0 CAD	inspect_before_delivery
20ft-standard-used	20ft Standard Shipping Container - Used (Cargo Worthy)	20ft standard used shipping container for sale. Inspected and certified wind and watertight. Great value for storage needs. Dimensions: 20ft L x 8ft W x 8ft 6in H. 1,172 cubic feet capacity. Perfect for residential storage, small business, construction sites. Free delivery within 50km of Saskatoon.	https://ccansam.com/containers/20ft-standard/	https://ccansam.com/images/containers/20ft-standard.jpg	in_stock	3000.00 CAD	C-Can Sam	used	no	Hardware > Storage & Organization	Shipping Containers > 20ft Standard	free_local	CA::0 CAD	inspect_before_delivery
40ft-standard-used	40ft Standard Shipping Container - Used (Cargo Worthy)	40ft standard used shipping container for sale. Maximum storage capacity for commercial and industrial applications. Inspected and certified wind and watertight. Dimensions: 40ft L x 8ft W x 8ft 6in H. 2,390 cubic feet capacity. Free delivery within 50km of Saskatoon.	https://ccansam.com/containers/40ft-standard/	https://ccansam.com/images/containers/40ft-standard.jpg	in_stock	4750.00 CAD	C-Can Sam	used	no	Hardware > Storage & Organization	Shipping Containers > 40ft Standard	free_local	CA::0 CAD	inspect_before_delivery
40ft-high-cube-new	40ft High Cube Shipping Container - New (One-Trip)	40ft high cube shipping container with extra height. Ideal for oversized items and commercial storage. Dimensions: 40ft L x 8ft W x 9ft 6in H. 2,694 cubic feet capacity. Like-new one-trip condition. Free delivery within 50km of Saskatoon.	https://ccansam.com/containers/40ft-high-cube/	https://ccansam.com/images/containers/40ft-highcube.jpg	in_stock	6500.00 CAD	C-Can Sam	new	no	Hardware > Storage & Organization	Shipping Containers > 40ft High Cube	free_local	CA::0 CAD	inspect_before_delivery
40ft-high-cube-used	40ft High Cube Shipping Container - Used (Cargo Worthy)	40ft high cube used shipping container with extra height for oversized items. Inspected and certified wind and watertight. Dimensions: 40ft L x 8ft W x 9ft 6in H. 2,694 cubic feet capacity. Great value for maximum storage. Free delivery within 50km of Saskatoon.	https://ccansam.com/containers/40ft-high-cube/	https://ccansam.com/images/containers/40ft-highcube.jpg	in_stock	4750.00 CAD	C-Can Sam	used	no	Hardware > Storage & Organization	Shipping Containers > 40ft High Cube	free_local	CA::0 CAD	inspect_before_delivery
